event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
13027_2018-10-11 00:00:00,2018280N18273,13027,Brooks,2018-10-11 00:00:00,28,16253,902.0,647.958333333333,28,13.3381374722838,216784.748337029,1.16666666666667,2018,10,27.0333661311487,12.769014229691216,27.87589471394878,994.3063434624232,52,52,114.07448557741871,2018280N18273,325145000.0,20005.229803728544
13287_2018-10-11 00:00:00,2018280N18273,13287,Turner,2018-10-11 00:00:00,151,8842,5135.0,647.958333333333,151,51.9504658288324,459346.018858536,6.29166666666667,2018,10,27.115748630987632,7.206438412805935,65.38600961495241,988.4437782411316,175,168,54.42908886934777,2018280N18273,190113000.0,21501.13096584483
13003_2018-10-11 00:00:00,2018280N18273,13003,Atkinson,2018-10-11 00:00:00,40,8183,4549.0,647.958333333333,40,6.82215871620136,55825.7247746757,1.66666666666667,2018,10,23.57714719772339,11.668859830367214,22.63245414942503,997.1296335018384,64,64,134.8346298712019,2018280N18273,237011000.0,28963.827447146523
13193_2018-10-11 01:00:00,2018280N18273,13193,Macon,2018-10-11 01:00:00,49,11765,6145.0,648.0,49,28.4966639544345,335263.251423922,2.04166666666667,2018,10,25.796105892988887,10.25615331790719,82.96403294619526,987.3311340480534,73,73,27.01814852913803,2018280N18273,431494000.0,36676.07309817254
13019_2018-10-11 01:00:00,2018280N18273,13019,Berrien,2018-10-11 01:00:00,47,18214,4422.0,648.0,47,19.8997068891876,362453.261279663,1.95833333333333,2018,10,26.97775459717208,11.057973043093261,29.340948985739207,995.0827042460762,71,71,115.57428576997721,2018280N18273,385975000.0,21191.116723399584
13315_2018-10-11 01:00:00,2018280N18273,13315,Wilcox,2018-10-11 01:00:00,115,8761,4912.0,648.0,115,62.6893943013266,549221.783473923,4.79166666666667,2018,10,25.210254163158183,7.574640468535244,67.39798869120376,987.8816111288266,139,139,47.833055364179884,2018280N18273,151423000.0,17283.757561922153
13069_2018-10-11 01:00:00,2018280N18273,13069,Coffee,2018-10-11 01:00:00,44,43172,13869.0,648.0,44,12.5984714770518,543901.210607282,1.83333333333333,2018,10,25.298078568461705,11.228048584711619,38.07540285391825,994.8773471018976,68,68,119.24447100097294,2018280N18273,1515880000.0,35112.57296395812
13017_2018-10-11 01:00:00,2018280N18273,13017,Ben Hill,2018-10-11 01:00:00,97,17069,3299.0,648.0,97,51.9421229136294,886600.096012741,4.04166666666667,2018,10,25.772144998257588,8.328192472400655,59.747971748910004,990.8365035010372,121,121,76.99949572136487,2018280N18273,550061000.0,32225.730857109378
13155_2018-10-11 01:00:00,2018280N18273,13155,Irwin,2018-10-11 01:00:00,68,9126,6013.0,648.0,68,22.3363841003872,203841.841300134,2.83333333333333,2018,10,26.300891215208345,9.571271359221205,50.9382185178794,992.0461840691136,92,92,84.28884822404956,2018280N18273,198125000.0,21709.94959456498
13277_2018-10-11 01:00:00,2018280N18273,13277,Tift,2018-10-11 01:00:00,69,41412,12826.0,648.0,69,22.6022408232445,936003.9969722,2.875,2018,10,28.52156296066459,9.591334824531076,47.56230096591233,991.205473502852,93,93,84.30078301202411,2018280N18273,1877534000.0,45337.92137544673
